
2024/01/19 (20:34:05) | ===> btop++ v.1.3.0
2024/01/19 (20:34:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/19 (20:34:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/26 (12:33:47) | ===> btop++ v.1.3.0
2024/01/26 (12:33:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/26 (12:33:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/28 (15:16:16) | ===> btop++ v.1.3.0
2024/01/28 (15:16:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/28 (15:16:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/28 (20:03:24) | ===> btop++ v.1.3.0
2024/01/28 (20:03:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/28 (20:03:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/29 (12:54:44) | ===> btop++ v.1.3.0
2024/01/29 (12:54:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/29 (12:54:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/01 (13:09:34) | ===> btop++ v.1.3.0
2024/02/01 (13:09:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/01 (13:09:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/01 (13:52:35) | ===> btop++ v.1.3.0
2024/02/01 (13:52:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/01 (13:52:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported
