
2024/01/19 (20:34:05) | ===> btop++ v.1.3.0
2024/01/19 (20:34:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/19 (20:34:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/26 (12:33:47) | ===> btop++ v.1.3.0
2024/01/26 (12:33:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/26 (12:33:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/28 (15:16:16) | ===> btop++ v.1.3.0
2024/01/28 (15:16:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/28 (15:16:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported
